Description,,Summary Amt.;;;;;
"Beginning balance as of 02/01/2023,,""0.00""";;;;;
"Total credits,,""140,204.08""";;;;;
"Total debits,,""-135,018.16""";;;;;
"Ending balance as of 06/07/2023,,""5,185.92""";;;;;
;;;;;
Date;Description;Amount;Running Bal.;Category 1;Category 2
05/18/2023;ROSS STORE #22 05/18 PURCHASE RIVERTON UT; -48 ; 9.081 ;;
05/19/2023;MCDONALD'S F31437 05/18 PURCHASE SOUTH JORDAN UT; -25 ; 9.056 ;;
05/19/2023;NikePOS_US 05/19 PURCHASE Lehi UT; -23 ; 9.034 ;;
05/19/2023;SMITHS #4276 5 05/18 PURCHASE SOUTH JORDAN UT; -8 ; 9.026 ;;
05/22/2023;TST* DirtyBird - Rivert 05/19 PURCHASE Riverton UT; -10 ; 9.016 ;;
05/22/2023;SILVERLAKE RAMEN UTAH 05/19 PURCHASE RIVERTON UT; -52 ; 8.964 ;;
05/22/2023;BURGERS & BARLEY 05/19 PURCHASE RIVERTON UT; -7 ; 8.957 ;;
05/22/2023;7-ELEVEN 05/20 PURCHASE Lehi UT; -88 ; 8.869 ;Bencina;MEnsual
05/22/2023;7-ELEVEN 05/20 PURCHASE LEHI UT; -11 ; 8.859 ;Bencina;MEnsual
05/22/2023;THANKSGIVING POINT FS 05/20 PURCHASE XXX-XX82300 UT; -20 ; 8.838 ;;
05/22/2023;THANKSGIVING POINT FS 05/20 PURCHASE XXX-XX82300 UT; -13 ; 8.826 ;;
05/22/2023;Thanksgiving Point Inst 05/20 PURCHASE Lehi UT; -36 ; 8.790 ;;
05/22/2023;COSTCO WHSE #1 05/21 PURCHASE RIVERTON UT; -172 ; 8.617 ;Comida;Mensual
05/22/2023;COSTCO WHSE #1 05/21 PURCHASE RIVERTON UT; -1 ; 8.616 ;Comida;Mensual
05/22/2023;COSTCO WHSE #1 05/22 PURCHASE RIVERTON UT; -55 ; 8.561 ;Comida;Mensual
05/23/2023;COSTCO WHSE #1 05/23 PURCHASE RIVERTON UT; -42 ; 8.519 ;Comida;Mensual
05/25/2023;COSTCO WHSE #1 05/25 PURCHASE SOUTH JORDAN UT; -66 ; 8.453 ;Comida;Mensual
05/25/2023;SMITHS #4 5448 05/25 PURCHASE SOUTH JORDAN UT; -78 ; 8.375 ;;
05/26/2023;CK Acquisitions Limited 05/25 PURCHASE London; -28 ; 8.347 ;;
05/26/2023;INTERNATIONAL TRANSACTION FEE 05/25 CK Acquisitions Limited London; -1 ; 8.346 ;;
05/30/2023;KENNECOTT UTAH C DES:21344P0000 ID:XXXXXXXXXX01201 INDN:PAULA GARNHAM HERRERA CO ID:XXXXX90818 CCD; 5.780 ; 14.126 ;;
05/30/2023;INNAGO 05/26 PURCHASE XXX-XX21654 OH; -143 ; 13.984 ;;
05/30/2023;WM SUPERCENTER 05/27 PURCHASE SOUTH JORDAN UT; -116 ; 13.868 ;;
05/30/2023;Columbia 467 05/27 PURCHASE Park City UT; -222 ; 13.646 ;;
05/30/2023;MEIERS MEATS & 05/29 PURCHASE HIGHLAND UT; -36 ; 13.610 ;;
05/30/2023;COSTCO WHSE #1 05/30 PURCHASE SOUTH JORDAN UT; -260 ; 13.350 ;Comida;Mensual
05/30/2023;WM SUPERCENTER 05/30 PURCHASE SOUTH JORDAN UT; -64 ; 13.286 ;;
05/31/2023;DAYBREAK ACADEMY DES:XXXXX86914 ID:XXXXX6790 INDN:Paula Garnham CO ID:XXXXX59040 PPD; -2.206 ; 11.080 ;;
06-01-2023;INNAGO 05/31 PURCHASE XXX-XX21654 OH; -3.243 ; 7.837 ;;
06-01-2023;TMOBILE*PREPD AUTOPY 05/31 PURCHASE 877-778-2106 WA; -56 ; 7.780 ;;
06-01-2023;STATE LIQUOR S 06/01 PURCHASE HERRIMAN UT; -28 ; 7.753 ;;
06-01-2023;SPORTSMAN'S WA 06/01 PURCHASE South Jordan UT; -132 ; 7.621 ;;
06-01-2023;COSTCO WHSE #1 06/01 PURCHASE SOUTH JORDAN UT; -44 ; 7.577 ;Comida;Mensual
06-02-2023;OLD NAVY US 63 06/02 REFUND PARK CITY UT; 9 ; 7.586 ;;
06-02-2023;CVS/PHARMACY #10308 06/01 PURCHASE HERRIMAN UT; -3 ; 7.584 ;;
06-02-2023;DATA VISUALIZATION 06/01 PURCHASE HTTPSWWW.EDX. MD; -1.999 ; 5.584 ;;
06-02-2023;OLD NAVY US 63 06/02 PURCHASE PARK CITY UT; -88 ; 5.496 ;;
06-02-2023;7-ELEVEN 06/02 PURCHASE South Jordan UT; -79 ; 5.417 ;Bencina;MEnsual
06-05-2023;BURGER KING #21053 06/01 PURCHASE SOUTH JORDAN UT; -32 ; 5.385 ;;
06-05-2023;SMITHS #4 5448 06/05 PURCHASE SOUTH JORDAN UT; -49 ; 5.336 ;;
06-06-2023;COOPERS RESTAURANT AND 06/04 PURCHASE FISH HAVEN ID; -73 ; 5.263 ;;
06-06-2023;COSTCO GAS #10 06/06 PURCHASE SOUTH JORDON UT; -77 ; 5.186 ;Comida;Mensual
